fileName;_ID;use;hostgroups;host_name;address;alias;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399344-N.cfg;utm399344;utm-server;utms;R48-399344-N;R48-399344-N.main.russianpost.ru;ОПС 399344 10.98.100.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399941-N.cfg;utm399941;utm-server;utms;R48-399941-N;R48-399941-N.main.russianpost.ru;ОПС 399941 10.98.111.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399947-N.cfg;utm399947;utm-server;utms;R48-399947-N;R48-399947-N.main.russianpost.ru;ОПС 399947 10.98.111.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399525-n.cfg;utm399525;utm-server;utms;R48-399525-n;R48-399525-n.main.russianpost.ru;ОПС 399525 10.98.104.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399010-N.cfg;utm399010;utm-server;utms;R48-399010-N;R48-399010-N.main.russianpost.ru;ОПС 399010 10.98.114.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399231-N.cfg;utm399231;utm-server;utms;R48-399231-N;R48-399231-N.main.russianpost.ru;ОПС 399231 10.98.119.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399799EXP07.cfg;utm399744;utm-server;utms;R48-399799EXP07;R48-399799EXP07.main.russianpost.ru;ОПС 399744 10.98.7.57;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399912-N.cfg;utm399912;utm-server;utms;R48-399912-N;R48-399912-N.main.russianpost.ru;ОПС 399912 10.98.143.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399915-N.cfg;utm399915;utm-server;utms;R48-399915-N;R48-399915-N.main.russianpost.ru;ОПС 399915 10.98.143.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399008-N.cfg;utm399008;utm-server;utms;R48-399008-N;R48-399008-N.main.russianpost.ru;ОПС 399008 10.98.114.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399015-N.cfg;utm399015;utm-server;utms;R48-399015-N;R48-399015-N.main.russianpost.ru;ОПС 399015 10.98.115.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399081-N.cfg;utm399081;utm-server;utms;R48-399081-N;R48-399081-N.main.russianpost.ru;ОПС 399081 10.98.95.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399910-N.cfg;utm399910;utm-server;utms;R48-399910-N;R48-399910-N.main.russianpost.ru;ОПС 399910 10.98.110.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\usmanskii pochtamtHlevnoe.cfg;utmusmanskiipochtamtHlevnoe;utm-server;utms;ОПС Хлевное СКЛАД;R48-399260exp01.main.russianpost.ru;Усманский почтамт Склад Хлевное;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399161-N.cfg;utm399161;utm-server;utms;R48-399161-N;R48-399161-N.main.russianpost.ru;ОПС 399161 10.98.97.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399366-N.cfg;utm399366;utm-server;utms;R48-399366-N;R48-399366-N.main.russianpost.ru;ОПС 399366 10.98.101.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399934-n.cfg;utm399934;utm-server;utms;R48-399934-N;R48-399934-N.main.russianpost.ru;ОПС 399934 10.98.145.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399152-N.cfg;utm399152;utm-server;utms;R48-399152-N;R48-399152-N.main.russianpost.ru;ОПС 399152 10.98.117.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399451-N.cfg;utm399451;utm-server;utms;R48-399451-N;R48-399451-N.main.russianpost.ru;ОПС 399451 10.98.125.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Sklad-dpbroe.cfg;utmdobroes;utm-server;utms;Доброе Склад;10.98.83.23;Чаплыгинский почтамт склад Доброе;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399523-N.cfg;utm398523;utm-server;utms;R48-399523-N;R48-399523-N.main.russianpost.ru;ОПС 398523 10.98.93.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399588-n.cfg;utm399588;utm-server;utms;R48-399588-n;R48-399588-n.main.russianpost.ru;ОПС 399588 Казаково 10.98.131.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399878-N.cfg;utm399878;utm-server;utms;R48-399878-N;R48-399878-N.main.russianpost.ru;ОПС 399878 Гагарино 10.98.110.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399893-n.cfg;utm399893;utm-server;utms;R48-399893-n;R48-399893-n.main.russianpost.ru;ОПС 399893 10.98.143.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399236-N.cfg;utm399236;utm-server;utms;R48-399236-N;R48-399236-N.main.russianpost.ru;ОПС 399236 10.98.218.149;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399561-N.cfg;utm399561;utm-server;utms;R48-399561-N;R48-399561-N.main.russianpost.ru;ОПС 399561 10.98.129.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399570-N.cfg;utm399570;utm-server;utms;R48-399570-N;R48-399570-N.main.russianpost.ru;ОПС 399570 10.98.105.99;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399608-N.cfg;utm399608;utm-server;utms;R48-399608-N;R48-399608-N.main.russianpost.ru;ОПС 399608 10.98.105.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399749-N.cfg;utm399749;utm-server;utms;R48-399749-N;R48-399749-N.main.russianpost.ru;ОПС 399749 10.98.138.2;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399026-N.cfg;utm399026;utm-server;utms;R48-399026-N;R48-399026-N.main.russianpost.ru;ОПС 399026 10.98.115.162;;;;;;;
